method,method_label,step,mean_return,std_return,n_seeds,sem_return,step_millions
adam,Adam,56229888,2201.5887451171875,265.81611797768005,3,153.4690072693549,56.229888
adam,Adam,56426496,2180.1180826822915,320.42438072008855,3,184.99710246366226,56.426496
adam,Adam,56623104,2366.4747314453125,324.36813270448863,3,187.27402873347276,56.623104
adam,Adam,56819712,2319.2490234375,310.50902801133714,3,179.27247090815456,56.819712
adam,Adam,57016320,2312.121134440104,290.9508027895813,3,167.9805243115025,57.01632
adam,Adam,57212928,2359.129150390625,250.83891249271957,3,144.82191365090463,57.212928
adam,Adam,57409536,2258.6758626302085,372.24328140759474,3,214.91475872470446,57.409536
adam,Adam,57606144,2368.8548583984375,346.0127319520539,3,199.77054393555616,57.606144
adam,Adam,57802752,2455.59814453125,348.0835809763364,3,200.96614917717673,57.802752
adam,Adam,57999360,2372.7213134765625,317.62091956087096,3,183.37852340872533,57.99936
adam,Adam,58195968,2476.628662109375,309.3600268272069,3,178.60909476519777,58.195968
adam,Adam,58392576,2478.387736002604,420.1690170917901,3,242.5846951230855,58.392576
adam,Adam,58589184,2480.60693359375,482.6898916682405,3,278.68113888976995,58.589184
adam,Adam,58785792,2476.3507080078125,455.70447590441483,3,263.10110183433125,58.785792
adam,Adam,58982400,2652.519775390625,550.584926814694,3,317.880355708214,58.9824
adam,Adam,59179008,2804.0951334635415,632.0320266569071,3,364.90386072683003,59.179008
adam,Adam,59375616,2695.3121744791665,616.7035386998283,3,356.0539540785407,59.375616
adam,Adam,59572224,2693.752482096354,602.6260900843937,3,347.9263353309164,59.572224
adam,Adam,59768832,2776.025146484375,567.4995597011584,3,327.64602355845796,59.768832
adam,Adam,59965440,2772.0804036458335,536.6739606448505,3,309.84885564536705,59.96544
adam,Adam,60162048,2715.72509765625,519.6170451960172,3,300.0010409194385,60.162048
adam,Adam,60358656,2743.813232421875,646.7762272037462,3,373.4164288815334,60.358656
adam,Adam,60555264,2693.6129557291665,394.9564727793692,3,228.02822587735395,60.555264
adam,Adam,60751872,2840.0096842447915,484.16539417045317,3,279.5330206566124,60.751872
adam,Adam,60948480,2874.6371256510415,303.77256895982924,3,175.38317446138157,60.94848
adam,Adam,61145088,2748.8397623697915,352.5273516913717,3,203.53176139571931,61.145088
adam,Adam,61341696,2799.1219889322915,369.1178108231492,3,213.11026744143058,61.341696
adam,Adam,61538304,2845.3701171875,168.75437514902958,3,97.43038391921932,61.538304
adam,Adam,61734912,2953.1044108072915,304.4462072180525,3,175.77209969110322,61.734912
adam,Adam,61931520,2924.6127115885415,243.64456733043357,3,140.66825653481573,61.93152
adam,Adam,62128128,2989.2779134114585,295.56909454685353,3,170.64689630075983,62.128128
adam,Adam,62324736,3127.323974609375,386.4655594328906,3,223.1259947710987,62.324736
adam,Adam,62521344,3043.7317708333335,350.7164045745346,3,202.48621059032524,62.521344
adam,Adam,62717952,3083.3360188802085,260.9948075700305,3,150.68542240765169,62.717952
adam,Adam,62914560,3060.2767740885415,314.90104159485577,3,181.80820113288354,62.91456
adam,Adam,63111168,3134.220703125,184.30758822513874,3,106.41003567547456,63.111168
adam,Adam,63307776,3224.3136393229165,81.0387315784125,3,46.78773349158228,63.307776
adam,Adam,63504384,3392.92822265625,166.16410747733545,3,95.93489218169353,63.504384
adam,Adam,63700992,3288.955078125,227.39212166964617,3,131.28490265757037,63.700992
adam,Adam,63897600,3327.5696614583335,42.38815912465258,3,24.472815081070863,63.8976
adam,Adam,64094208,3274.674560546875,54.19128093926347,3,31.287350638014402,64.094208
adam,Adam,64290816,3344.263427734375,175.98706441926026,3,101.60617901635193,64.290816
