optimizer,seed,task,epret,eplen,rstep,obs_delay_mean,act_delay_mean,actor_dorm,value_dorm
cpr,0,19,269.02228487454926,127.49677217923679,2.117295503616333,3.4997903933891883,1.4995504984488854,8.279915149395283,41.722209636981674
cpr,0,20,270.0869986794212,131.05437192049894,2.0693532770330254,2.9997309771451084,2.0004656965082344,7.891414642333984,42.09069338711825
cpr,0,21,259.8240857805525,124.96882356916156,2.087462101663862,2.998983212879726,2.499471460069929,7.986111640930176,42.12110791887556
cpr,0,22,366.22818270596593,157.11256686123934,2.3415023413571445,1.5002099709077314,1.5004332932558926,9.027778625488281,43.04165545376864
cpr,0,23,483.66323020241475,176.2522929798473,2.749911763451316,1.000418489629572,2.500117995522239,8.90151596069336,43.31842942671342
cpr,0,24,488.0543741861979,186.1796844482422,2.6266332626342774,1.4999189853668213,1.5000590324401855,7.592593002319336,43.013268025716144
cpr,0,25,957.2635904947916,287.10042572021484,3.3485715985298157,0.999999612569809,1.4995808402697246,9.375000397364298,44.613582611083984
cpr,0,26,259.94147976962,121.46961281516336,2.143596714193171,2.9999149929393423,2.4985912062905054,10.037879076871006,43.368105454878375
cpr,0,27,1128.2088971819196,311.8695547921317,3.6391567502702986,1.5003142952919006,1.4999560969216483,8.928572246006556,45.04293441772461
cpr,0,28,818.5889226740056,228.55907648259944,3.5843969908627598,1.0007925629615784,2.4995274977250532,9.532828504388982,44.70938838611949
cpr,0,29,257.47293368252843,120.12866141579367,2.148234887556596,3.500146649100564,2.0014973011883823,9.154041116887873,44.50358338789506
cpr,0,30,211.87768336704798,105.99679401942662,2.006576418876648,3.500015684536525,3.4995677641459872,8.333333969116211,44.74740655081613
cpr,0,31,295.8024456317608,121.65514901968149,2.444405519045316,1.9989377902104304,3.50005369919997,8.38675278883714,44.63459983238807
cpr,0,32,882.7000309870793,259.8222163273738,3.4068771509023814,0.5000653542005099,1.9995567798614502,8.279915149395283,46.13582992553711
cpr,0,33,325.1222330729167,129.16926383972168,2.5273431539535522,2.499307096004486,2.4995012283325195,8.854167302449545,44.613582611083984
cpr,0,34,232.8183339436849,116.51401646931966,2.007900138696035,3.499601642290751,3.500511646270752,9.722222407658895,45.55685551961263
cpr,0,35,1079.6551361083984,312.28953806559247,3.482818086942037,1.4999220470587413,0.5003238345185915,8.391204357147217,46.968512217203774
cpr,0,36,1367.6169799804688,390.0326690673828,3.5112054109573365,0.9995300710201264,0.9999613761901855,9.027778625488281,47.67369003295899
cpr,0,37,1562.413833618164,381.0761070251465,4.101486384868622,0.9998340904712677,1.499425321817398,10.156250238418579,48.00936508178711
