optimizer,seed,task,obs_delay,act_delay,epret,eplen,rstep,astd,actor_dorm,value_dorm
cpr,0,19,10,9,535.9663973721591,186.11432855779475,2.884629336270419,0.24577797813849014,5.871212482452393,38.691362554376774
cpr,0,20,10,10,460.5363423665365,172.75730895996094,2.678959433237712,0.23922496438026428,6.481481870015462,39.968772888183594
redo,0,0,0,0,3593.1508585611978,693.2398986816406,5.319292267163594,0.3367009833455086,0.0,10.493103742599487
redo,0,1,1,0,3353.526628766741,604.8694763183594,5.584736347198486,0.3066900500229427,1.2400794242109572,11.24679354258946
redo,0,2,1,1,2663.347567471591,543.3709245161576,4.957000038840554,0.2747829827395352,1.388888955116272,11.510893128134988
redo,0,3,2,1,2046.1811981201172,458.76039695739746,4.500945746898651,0.24950579646974802,1.388888955116272,12.426814556121826
redo,0,4,2,2,1244.467508951823,335.5201782226562,3.7198859055836997,0.24449983139832815,1.388888955116272,12.287275250752767
redo,0,5,3,2,693.9465026855469,219.3836196899414,3.181898856163025,0.2430487632751465,1.388888955116272,10.889929389953613
redo,0,6,3,3,458.41844294621393,169.84498009314905,2.711081083004291,0.24083888072233933,1.7094018184221709,7.283972556774433
redo,0,7,4,3,324.9904724121094,141.10626754760742,2.3151646852493286,0.22932329028844833,2.0833334922790527,6.284152793884277
redo,0,8,4,4,244.71883568396936,122.78120715801532,2.0063415490663967,0.21921194516695464,2.0833334922790527,6.0049237838158245
redo,0,9,5,4,205.87315241495767,115.6395149230957,1.7908189992109935,0.22316868230700493,2.0833334922790527,9.60187315940857
redo,0,10,5,5,225.55891973322088,123.92309778386897,1.83047231760892,0.23446257006038318,2.0833334922790527,13.753459236838601
redo,0,11,6,5,364.9317138671875,171.46456604003907,2.1376744747161864,0.23668983578681946,2.0833334922790527,17.689304542541503
redo,0,12,6,6,650.2181282043457,254.29365062713623,2.5725790709257126,0.2426966866478324,2.0833334922790527,21.906712532043457
redo,0,13,7,6,888.8477416992188,308.6349334716797,2.8954251527786257,0.23116447329521178,2.0833334922790527,23.10694694519043
redo,0,14,7,7,1205.9580179850261,390.35656992594403,3.0862947503725686,0.2307468056678772,2.0833334922790527,24.876397609710693
redo,0,15,8,7,1155.43056640625,356.08026123046875,3.254569935798645,0.23434550315141678,2.0833334922790527,26.463699340820312
redo,0,16,8,8,1044.3911696213943,334.1637925368089,3.144901862511268,0.4054656842580208,2.0833334922790527,25.809162873488205
redo,0,17,9,8,817.8508744673295,270.0566003972834,3.0563161806626753,0.34870782223614777,2.0833334922790527,25.846283652565695
redo,0,18,9,9,813.9868041992188,267.4125061035156,3.050909471511841,0.26983982225259145,2.0833334922790527,25.849595896402995
redo,0,19,10,9,762.8899924538352,250.35036954012784,3.0739757147702305,0.3626483543352647,2.0833334922790527,26.74047157981179
redo,0,20,10,10,736.4245279947917,251.95086466471355,2.93825159072876,0.27092394630114236,2.0833334922790527,25.896434275309243
cbp,0,0,0,0,2771.5113321940103,528.9377746582031,5.3609992663065595,0.3670585925380389,0.0,10.88992953300476
cbp,0,1,1,0,3317.8128836495534,590.0210222516741,5.706199816295078,0.32998500551496235,0.8432540084634509,10.694768973759242
cbp,0,2,1,1,1480.019853071733,327.0310155695135,4.536417224190452,0.29734930396080017,1.388888955116272,10.574124683033336
cbp,0,3,2,1,1381.8249168395996,338.38885593414307,4.102748915553093,0.26241703145205975,1.388888955116272,10.889929354190826
cbp,0,4,2,2,973.9151814778646,268.1081309000651,3.6398566722869874,0.2553232471148173,1.388888955116272,11.017433993021648
cbp,0,5,3,2,651.4134643554687,203.6563522338867,3.207724952697754,0.2433936893939972,1.388888955116272,10.960187244415284
